AppID,Name,Tag,Developers,Publishers,Positive Reviews,Negative Reviews,Median Owners,Average Playtime,Median Playtime,CCU,Price,Initial Price,Discount
743850,Polyroll,Indie,Spicy Gyro Games Shiny Dolphin Games LLC,HOF Studios,74,5,10000,0,0,0,5.99,5.99,0
628460,Lily of the Valley,Indie,ebihime,ebihime,75,5,10000,0,0,0,2.99,2.99,0
1128180,CROSSNIQ,Indie,FUTURE MEMORY,FUTURE MEMORY,76,8,10000,0,0,0,7.99,7.99,0
563550,Nevrosa Escape,Indie,GexagonVR,GexagonVR,91,22,10000,0,0,0,14.99,14.99,0
1222160,Chinese Brush Simulator,Indie,Complex Plane,Complex Plane,93,8,10000,0,0,1,0.99,0.99,0
311930,Tinertia,Indie,Candescent Games Section Studios,Candescent amp Section,104,5,10000,0,0,0,14.99,14.99,0
2338710,Tickling Girls,Indie,MCGame,MCGame,0,2,10000,0,0,0,4.99,4.99,0
2115300,Chroma Key,Indie,Max Wilde,Max Wilde,1,0,10000,0,0,0,1.99,1.99,0
2283670,Nurtured human Plan Meet a Date,Indie,Works,Works,1,1,10000,0,0,0,2.99,2.99,0
2607230,Planeticus,Indie,Keshbel Games,Keshbel Games,1,3,10000,0,0,0,6.99,6.99,0
2746360,Extraordinary Monster,Indie,TeatimeWorkshop,TeatimeWorkshop,1,0,10000,0,0,0,1.99,1.99,0
2776800,Silent Cause,Indie,luxik,luxik,1,1,10000,0,0,0,4.99,4.99,0
2819950,The Warehouse,Indie,Matt Cunha,Matt Corp,1,2,10000,0,0,0,4.99,4.99,0
2581560,Brownies Adventure,Indie,Richard Brown,Richard Brown,2,0,10000,0,0,0,5.99,5.99,0
1903130,HellFull  The Last Hope,Indie,Nil Slabbert,Nil Slabbert,3,0,10000,0,0,0,25.00,25.00,0
1982810,Amandas Magic Book  True Love,Indie,eFunSoftGames,HHGames,3,2,10000,0,0,0,5.99,5.99,0
2660700,Catch My Color,Indie,Colight,Colight,3,0,10000,0,0,0,2.99,2.99,0
1166830,Lost Empire ,Indie,J Game studio Request Logic,Request Logic AS,4,5,10000,0,0,0,14.99,14.99,0
1607570,Cute Girls Love Books,Indie,,,4,3,10000,0,0,0,1.99,1.99,0
1564690,cherry blossom fleet,Indie,Far East military Co,Far East military Co,4,1,10000,0,0,0,12.99,12.99,0
1688690,DeadLock,Indie,LLL games,LLL games,4,1,10000,0,0,0,2.99,2.99,0
1823100,The Pest,Indie,Ostap Trush,Ostap Trush Multiverse Experience,5,0,10000,0,0,0,0.00,0.00,0
2574470,Exit the Backrooms,Indie,Nutty,Nutty,4,4,10000,0,0,0,6.99,6.99,0
1356360,Exploaris Vermis story,Indie,ViART Games,ViArt Studio,5,1,10000,0,0,0,14.99,14.99,0
1558020,Lazy Chess,Indie,Christopher CinqMars Jarvis,CinqMars Media,5,6,10000,0,0,0,2.99,2.99,0
1591840,Avoid The Demons,Indie,Boogygames Studios,Boogygames Studios,5,1,10000,0,0,0,0.99,0.99,0
2435020,Onka,Indie,Yajin,YajinGameProject,5,0,10000,0,0,0,3.99,3.99,0
2468960,The Old House,Indie,x,x,5,0,10000,0,0,0,0.99,0.99,0
2707610,Desert Kingdoms,Indie,Markus Fink,Markus Fink,5,0,10000,0,0,0,3.99,3.99,0
1583080,Professor Crackbrain  And the awakening of the weredog,Indie,Broken Cell Games,Broken Cell Games,6,1,10000,0,0,0,6.99,6.99,0
2379800,RUN ON,Indie,GAMES PONY ENT,PONY ENT GAMES,6,1,10000,0,0,0,5.99,5.99,0
1611890,Retrowave Road,Indie,deadworld games,deadworld games,7,2,10000,0,0,0,9.99,9.99,0
1881850,Maze Twister,Indie,InsVolcStudio,InsVolcStudio,7,1,10000,0,0,0,0.99,0.99,0
1647360,Little Dog Bob,Indie,Simon Eltz,Simon Eltz,8,0,10000,0,0,0,4.99,4.99,0
2176140,,Indie,MATRIX GAMES,KARLS LIGHT,9,3,10000,0,0,0,0.00,0.00,0
2414210,Text Twist Classic,Indie,Tuga Studios,Tuga Studios,8,1,10000,0,0,0,0.99,0.99,0
645200,Lethal Running,Indie,voodoosoft,voodoosoft,10,4,10000,0,0,0,4.99,4.99,0
2114830,Belt Colony,Indie,GridSky Software,GridSky Software,10,2,10000,0,0,0,19.99,19.99,0
2168830,The Story of Barker,Indie,Denys Sokolov,LogicCool,10,3,10000,0,0,0,2.99,2.99,0
2219640,Kanji Drive,Indie,Kaan zgl,Kaan zgl,10,2,10000,0,0,0,5.99,5.99,0
1478440,Perfect Decision,Indie,MuZhiBian, MuZhiBian,11,12,10000,0,0,0,5.99,5.99,0
1703650,Hashi Light,Indie,amiksemo,amiksemo,11,0,10000,0,0,0,3.99,3.99,0
2116950,Tiny Solar System,Indie,James Wilder,James Wilder,11,1,10000,0,0,0,5.99,5.99,0
1326110,Killer Ricky,Indie,QS,Koya Game,12,7,10000,0,0,0,0.59,2.99,80
1414720,Desktop Man,Indie,DesktopMan Team,DesktopMan Team,13,5,10000,0,0,0,3.99,3.99,0
1581660,LOOSEPO,Indie,MEWSTURBO,MEWSTURBO,13,2,10000,0,0,0,1.99,1.99,0
1983330,Exorcist,Indie,Arafkan Studio,Arafkan Studio,14,19,10000,0,0,0,2.99,5.99,50
1954100,Bunny Hop  Eggstreme,Indie,Brzongue Inc,Hadod amp Sufob Editions,14,0,10000,0,0,0,2.99,2.99,0
2116750,Lawnmower Game Space Race,Indie,Tero Lunkka Valkeala Software,Tero Lunkka,14,4,10000,0,0,0,1.99,1.99,0
2330300,Ecstatic,Indie,PUNKCAKE Delicieux,PUNKCAKE Delicieux,14,0,10000,0,0,0,5.99,5.99,0
1951970,Abedot Family Estate Search For Hidden Objects,Indie,Dnovel,Dnovel,15,24,10000,0,0,0,9.99,9.99,0
2187160,Touhou Mini Map,Indie,Tai Yi,Aged Immortals,15,5,10000,0,0,0,2.99,2.99,0
1540910,City Maker,Indie,Emerick Gibson,Emerick Gibson,17,4,10000,0,0,0,0.99,0.99,0
1291230,Heaven vs Hell,Indie,Neex Games,Greenolor Studio,18,3,10000,0,0,0,2.99,2.99,0
1403720,Medulla,Indie,Lemondo Games Gia Bokhua,Lemondo Games,18,0,10000,0,0,0,9.99,9.99,0
2266740,Twinkle Hunter,Indie,Silver Cat,Silver Cat,18,0,10000,0,0,0,11.99,11.99,0
1759640,Underground Life,Indie,Remainder Studios,Remainder Studios,20,9,10000,0,0,1,0.00,0.00,0
1802460,Pregnant,Indie,Pregnant,Pregnant,20,14,10000,0,0,0,0.00,0.00,0
